Daily LE,B1,B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,BQA,Cloud Cover,NDVI,EVI,SAVI,VARI,NDWI,Date Epoch
1377.63793586279,0.1211776658892631,0.1006857827305793,0.0846280008554458,0.0742712020874023,0.1895261853933334,0.1720748245716095,0.0973918735980987,0.07937041670084,0.0062077362090349,294.2601318359375,293.0533752441406,2720.0,20.18,0.4369072203732411,0.3274251988963801,0.2263459888611585,0.1779108447893731,-0.3826247775866477,1509926400
55.57444133473,0.4699590504169464,0.4625689089298248,0.4217327237129211,0.4381129145622253,0.4707590043544769,0.2957576513290405,0.2610544860363006,0.4426079392433166,0.0890625119209289,257.202392578125,256.7892150878906,6896.0,88.46,0.0359193513549884,0.1295130942511169,0.0347576909092136,-0.0412311863226858,-0.0549319160052242,1515456000
47.30824311346,0.1173160150647163,0.1001018732786178,0.0796722546219825,0.0835048407316207,0.1295607984066009,0.192636027932167,0.1325813978910446,0.0799970477819442,0.0023709984961897,297.0039367675781,295.8924560546875,2720.0,14.19,0.2161585409137808,0.1308666955168491,0.0968829974698569,-0.0607621500734778,-0.2384352905169483,1518220800
303.14137285571,0.1177145838737487,0.1013109236955642,0.0844176113605499,0.088139034807682,0.1293440461158752,0.2138106226921081,0.1624451428651809,0.0860334932804107,0.001787259010598,306.8803100585937,305.8040771484375,2720.0,0.03,0.1894630659691467,0.1146690592996236,0.086144912131907,-0.0522336403923727,-0.2101706886338119,1522368000
359.6181674297,0.1195192337036132,0.1051096096634864,0.0900544226169586,0.0960027202963829,0.1429896503686905,0.2286404818296432,0.1748291701078415,0.0912994146347045,0.0072624492458999,309.93902587890625,309.2269287109375,2720.0,0.02,0.1966043097591412,0.1262161354916683,0.0953736437698685,-0.0734833717670444,-0.2271468528401133,1523750400
535.0955253309,0.3356770277023315,0.3234456181526184,0.3037246763706207,0.335809975862503,0.4027060568332672,0.3598739504814148,0.3431665599346161,0.3101949095726013,0.1053186878561973,285.2707824707031,275.1197204589844,6896.0,20.05,0.0905817585659942,0.1686358706901712,0.0810196386701074,-0.1015071578968805,-0.1401147710742063,1525132800
2708.9658203568,0.112466312944889,0.0965792834758758,0.0896219313144683,0.0772460848093032,0.2195574790239334,0.1847707331180572,0.1144386455416679,0.0835315436124801,0.0037929434329271,312.6436767578125,312.09588623046875,2720.0,0.01,0.4794800721954599,0.371109245297782,0.2679042878460591,0.1760715556952866,-0.4202593813321802,1526515200
4483.367466328798,0.1157276704907417,0.100174143910408,0.092655174434185,0.077617235481739,0.2528521716594696,0.1852673888206482,0.104427732527256,0.0849428623914718,0.0013963755918666,313.410888671875,311.67730712890625,2720.0,0.0,0.5302606909778282,0.4529207180559361,0.3165106408572397,0.2145265469371616,-0.4636572826496746,1527897600
5620.1632445541,0.1110270097851753,0.0939012989401817,0.0835657119750976,0.0689540654420852,0.2465500086545944,0.1835050582885742,0.0990583524107933,0.0774846896529197,0.0012677707709372,306.7007141113281,305.28546142578125,2720.0,0.01,0.5628958793035698,0.4644174163363967,0.3266616602913282,0.2492669020528267,-0.4937186764950364,1529280000
4814.1169137486,0.1499865800142288,0.1318229734897613,0.1006984263658523,0.090681068599224,0.2154987454414367,0.1272592693567276,0.0770355463027954,0.113659381866455,0.0016657523810863,287.2543334960937,284.69158935546875,2800.0,39.89,0.4076613516580058,0.4047723289761227,0.2322391506243742,0.1681991748087612,-0.3630656100414178,1534809600
